# Data format string: '(6E12.4)'
# Data printout from CCMC-simulation: version 1.2
# Data type:  BATSRUS  magnetosphere
# Run name:   Yihua_Zheng_011116_1
# Missing data:          NaN
# Date, time:         2015           3          15  00:00:00
# Output data: field with 61x61=3721 elements
# x           y           z           N           V_x         B_x       
# R_E         R_E         R_E         cm^-3       km/s        nT        
  1.9200E+01  0.0000E+00 -4.8000E+01  1.2988E+01 -3.1660E+02  1.0664E-03
  2.3467E+01  0.0000E+00 -4.8000E+01  1.2988E+01 -3.1660E+02  8.2524E-04
  2.7733E+01  0.0000E+00 -4.8000E+01  1.2988E+01 -3.1660E+02 -2.6532E-04
  3.2000E+01  0.0000E+00 -4.8000E+01  1.2988E+01 -3.1660E+02  2.5072E-05
 -2.2400E+02  0.0000E+00 -4.6400E+01  2.8568E+00 -3.0701E+02 -1.5674E+00
 -2.1973E+02  0.0000E+00 -4.6400E+01  2.8629E+00 -3.0658E+02 -1.4043E+00
 -2.1547E+02  0.0000E+00 -4.6400E+01  2.9605E+00 -3.0551E+02 -1.4583E+00
 -2.1120E+02  0.0000E+00 -4.6400E+01  3.0517E+00 -3.0452E+02 -1.5087E+00
 -2.0693E+02  0.0000E+00 -4.6400E+01  3.1147E+00 -3.0387E+02 -1.5437E+00
 -2.0267E+02  0.0000E+00 -4.6400E+01  3.1825E+00 -3.0321E+02 -1.5767E+00
 -1.9840E+02  0.0000E+00 -4.6400E+01  3.2609E+00 -3.0252E+02 -1.6053E+00
 -1.9413E+02  0.0000E+00 -4.6400E+01  3.3414E+00 -3.0186E+02 -1.6322E+00
 -1.8987E+02  0.0000E+00 -4.6400E+01  3.4246E+00 -3.0123E+02 -1.6569E+00
 -1.8560E+02  0.0000E+00 -4.6400E+01  3.5131E+00 -3.0063E+02 -1.6776E+00
 -1.8133E+02  0.0000E+00 -4.6400E+01  3.6057E+00 -3.0004E+02 -1.6952E+00
 -1.7707E+02  0.0000E+00 -4.6400E+01  3.7044E+00 -2.9949E+02 -1.7084E+00
 -1.7280E+02  0.0000E+00 -4.6400E+01  3.8058E+00 -2.9896E+02 -1.7196E+00
 -1.6853E+02  0.0000E+00 -4.6400E+01  3.9156E+00 -2.9851E+02 -1.7236E+00
 -1.6427E+02  0.0000E+00 -4.6400E+01  4.0273E+00 -2.9807E+02 -1.7260E+00
 -1.6000E+02  0.0000E+00 -4.6400E+01  4.1494E+00 -2.9775E+02 -1.7177E+00
 -1.5573E+02  0.0000E+00 -4.6400E+01  4.2729E+00 -2.9744E+02 -1.7077E+00
 -1.5147E+02  0.0000E+00 -4.6400E+01  4.4064E+00 -2.9728E+02 -1.6828E+00
 -1.4720E+02  0.0000E+00 -4.6400E+01  4.5419E+00 -2.9716E+02 -1.6524E+00
 -1.4293E+02  0.0000E+00 -4.6400E+01  4.6861E+00 -2.9718E+02 -1.5980E+00
 -1.3867E+02  0.0000E+00 -4.6400E+01  4.8338E+00 -2.9730E+02 -1.5386E+00
 -1.3440E+02  0.0000E+00 -4.6400E+01  4.9891E+00 -2.9761E+02 -1.4680E+00
 -1.3013E+02  0.0000E+00 -4.6400E+01  5.1511E+00 -2.9797E+02 -1.3904E+00
 -1.2587E+02  0.0000E+00 -4.6400E+01  5.3217E+00 -2.9839E+02 -1.3038E+00
 -1.2160E+02  0.0000E+00 -4.6400E+01  5.5071E+00 -2.9873E+02 -1.2137E+00
 -1.1733E+02  0.0000E+00 -4.6400E+01  5.7041E+00 -2.9902E+02 -1.1207E+00
 -1.1307E+02  0.0000E+00 -4.6400E+01  5.9276E+00 -2.9916E+02 -1.0321E+00
 -1.0880E+02  0.0000E+00 -4.6400E+01  6.1632E+00 -2.9924E+02 -9.4549E-01
 -1.0453E+02  0.0000E+00 -4.6400E+01  6.4339E+00 -2.9913E+02 -8.7254E-01
 -1.0027E+02  0.0000E+00 -4.6400E+01  6.7126E+00 -2.9898E+02 -8.0275E-01
 -9.6000E+01  0.0000E+00 -4.6400E+01  6.8881E+00 -2.9932E+02 -6.6836E-01
 -9.1733E+01  0.0000E+00 -4.6400E+01  7.1830E+00 -2.9899E+02 -5.9606E-01
 -8.7467E+01  0.0000E+00 -4.6400E+01  7.5734E+00 -2.9803E+02 -6.2075E-01
 -8.3200E+01  0.0000E+00 -4.6400E+01  8.0190E+00 -2.9701E+02 -6.5746E-01
 -7.8933E+01  0.0000E+00 -4.6400E+01  8.5432E+00 -2.9583E+02 -7.0094E-01
 -7.4667E+01  0.0000E+00 -4.6400E+01  9.1604E+00 -2.9451E+02 -7.5325E-01
 -7.0400E+01  0.0000E+00 -4.6400E+01  9.8886E+00 -2.9301E+02 -8.1735E-01
 -6.6133E+01  0.0000E+00 -4.6400E+01  1.0741E+01 -2.9133E+02 -8.9401E-01
 -6.1867E+01  0.0000E+00 -4.6400E+01  1.1734E+01 -2.8946E+02 -9.7484E-01
 -5.7600E+01  0.0000E+00 -4.6400E+01  1.3111E+01 -2.8747E+02 -1.1000E+00
