Data about Constellations columns are: group, IAUabbreviation, name, x, y, z, scale, imageName, rotX, rotY, rotZ, centerStar, origins
southern,Lup,Lupus,129.1166,-102.2983,33.3251,1.2,Lup.png,-1.311593,-2.461593,1.018407,HD129056,ancient
northern,Lyn,Lynx,-98.3174,4.483,67.2289,1.3,Lyn.png,3.138407,1.048407,2.728407,HD70272,modern
northern,Lyr,Lyra,2.8086,6.763,2.5555,1,Lyr.png,-1.831593,-2.091593,3.1415,HD172167,ancient
southern,Men,Mensa,2.4149,-8.5586,-4.8892,1.1,Men.png,-1.091593,1.338407,0.418407,HD43834,modern
southern,Mic,Microscopium,51.0335,11.1671,-44.3692,1,Mic.png,0.728407,-0.831593,-0.561593,HD199951,modern
equatorial,Mon,Monoceros,-93.0725,-66.8909,8.6548,1.2,Mon.png,-1.331593,1.988407,-0.891593,HD55185,modern
southern,Mus,Musca,48.8888,-79.2952,-10.2828,1.25,Mus.png,-1.871593,3.138407,0.358407,HD109668,modern
southern,Nor,Norma,34.9251,-17.5643,0.0068,1,Nor.png,-1.631593,-2.421593,1.298407,HD146686,modern
southern,Oct,Octans,22.0434,-27.8601,-24.3108,1,Oct.png,-0.911593,0.398407,1.198407,HD214846,modern
northern,Oph,Ophiuchus,127.9419,14.0822,56.2015,3.2,Oph.png,2.178407,-0.781593,-1.681593,HD149757,ancient
equatorial,Ori,Orion,-550.8742,-259.3621,-188.962,1.7,Ori.png,1.128407,1.058407,1.668407,HD37128,ancient
bird,Pav,Pavo,4.4549,-2.5959,-3.2739,1.3,Pav.png,-2.391593,-2.171593,1.648407,HD190248,modern
northern,Peg,Pegasus,0.9791,32.5947,-27.7339,2.3,Peg.png,0.918407,-0.591593,-0.101593,HD218045,ancient
northern,Per,Perseus,-139.8202,79.8063,-16.2631,1.3,Per.png,-1.751593,2.428407,-2.411593,HD22928,ancient
southern,Phe,Phoenix,5.0172,-4.2096,-22.8088,1.4,Phe.png,2.708407,-3.081593,-2.701593,HD6595,modern
southern,Pic,Pictor,-4.5417,-45.5649,-27.1768,1,Pic.png,2.568407,2.138407,-2.081593,HD39523,modern
zodiac,Psc,Pisces,-28.0235,45.315,-76.8893,1.6,Psc.png,0.728407,0.048407,0.638407,HD4656,ancient
southern,PsA,Piscis Austrinus,99.9977,47.6679,-199.6345,1,PsA.png,3.138407,-2.541593,-2.881593,HD214748,ancient
southern,Pyx,Pyxis,-66.7424,-248.9639,26.0445,1.2,Pyx.png,1.838407,-1.651593,2.708407,HD74575,modern
southern,Ret,Reticulum,2.813,-37.2904,-33.2644,1.5,Ret.png,1.998407,2.188407,-2.591593,HD27256,modern
northern,Sge,Sagitta,44.3886,70.9446,-7.6264,1.2,Sge.png,-0.741593,-2.231593,2.108407,HD189319,ancient
zodiac,Sgr,Sagittarius,66.2304,11.1498,-14.8095,1.2,Sgr.png,1.728407,-1.321593,-1.751593,HD175191,ancient
zodiac,Sco,Scorpius,137.4378,-19.4456,37.3606,1.2,Sco.png,1.698407,-1.001593,-1.751593,HD148478,ancient
southern,Scl,Sculptor,21.6545,-6.8861,-166.524,1.3,Scl.png,-0.071593,-0.221593,0.638407,HD2429,modern
southern,Sct,Scutum,48.8939,21.5158,-0.1629,1.2,Sct.png,1.188407,-1.271593,-0.971593,HD171443,modern
southern,Sex,Sextans,-31.6009,-57.267,59.0296,1.2,Sex.png,2.428407,0.778407,-2.931593,HD87887,modern
zodiac,Tau,Taurus,-18.7277,-0.3175,-6.9092,1.2,Tau.png,1.198407,0.908407,1.378407,Aldebran,ancient
southern,Tel,Telescopium,72.3444,-14.5016,-20.0248,1.2,Tel.png,-0.461593,-1.731593,0.298407,HD169467,modern
northern,Tri,Triangulum,-26.6263,21.9119,-16.2254,1.2,Tri.png,1.168407,0.218407,0.558407,HD13161,ancient
southern,TrA,Triangulum Australe,96.2283,-76.4459,-33.5257,1.2,TrA.png,-1.991593,-2.491593,1.128407,HD150798,modern
bird,Tuc,Tucana,35.395,-20.2535,-45.2324,1.1,Tuc.png,-0.351593,-0.161593,0.308407,HD211416,modern
northern,Uma,Ursa Major,-12.0503,7.1931,19.8974,1.6,UMa.png,0.618407,2.758407,0.348407,HD95418,ancient
northern,UMi,Ursa Minor,-11.3527,27.21,25.1835,1.7,UMi.png,-2.211593,-0.501593,-2.401593,HD131873,ancient
zodiac,Vir,Virgo,36.5809,-35.1877,62.3341,1.6,Vir.png,-0.371593,3.138407,0.518407,HD116658,ancient
southern,Vol,Volans,37.6,-182.7856,-62.6559,1.2,Vol.png,-2.441593,1.988407,-0.351593,HD68520,modern
northern,Vul,Vulpecula,46.754,77.778,5.3953,1.1,Vul.png,-2.301593,-2.061593,-3.141593,HD131873,modern
