46.7,1.2,0.1,0.1,0.1
46.5,1.2,0.1,0.1,0.2
42.2,1.2,0.1,0.1,0.1
41.7,1.2,0.2,0.2,0.1
44.1,1.1,0.1,0.1,0.1
42,1.1,0.1,0.1,0.1
51.9,1.1,0.1,0.1,0.1
46.5,1.3,0.2,0.1,0.2
40.7,1.2,0.1,0.1,0.1
48.4,1.2,0.1,0.2,0.1
42.7,1.1,0.1,0.1,0.1
41.4,1.2,0.2,0.1,0.2
48,1.1,0.1,0.1,0.1
41.5,1.1,0.1,0.1,0.2
53.5,1.2,0.2,0.2,0.2
61.6,1.1,0.1,0.1,0.1
45.2,1.1,0.1,0.1,0.1
50.8,1.1,0.1,0.2,0.1
44.1,1.2,0.1,0.1,0.1
52.4,1.2,0.1,0.1,0.1
59.1,2.3,0.2,0.2,0.1
48.2,1.2,0.2,0.2,0.2
79.1,1.3,0.1,0.1,0.1
80.6,2.5,0.1,0.2,0.1
70.8,2.6,0.1,0.2,0.2
68.9,1.5,0.2,0.2,0.1
52.9,1.5,0.2,0.2,0.1
47.3,1.3,0.1,0.1,0.2
51.1,2,0.1,0.1,0.3
47.3,1.4,0.1,0.1,0.2
50.7,1.2,0.1,0.1,0.1
53.2,1.1,0.1,0.1,0.2
54.2,1.2,0.1,0.1,0.1
47.1,1.3,0.1,0.1,0.1
44.1,1.2,0.2,0.1,0.2
60.2,1.2,0.2,0.2,0.2
40.3,1.2,0.2,0.2,0.1
46.4,1.2,0.1,0.1,0.1
51.7,1.2,0.2,0.2,0.1
44.5,10.7,0.2,0.1,0.2
55.6,1.9,0.2,0.2,0.2
47.3,1.3,0.1,0.2,0.1
47.3,1.2,0.1,0.1,0.2
49,1.2,0.2,0.2,0.1
45.4,1.2,0.1,0.1,0.2
47.5,1.5,0.2,0.1,0.2
45.1,1.3,0.2,0.2,0.1
48.7,1.5,0.2,0.1,0.1
44.5,1.3,0.1,0.1,0.1
44.6,1.2,0.2,0.2,0.2
49.4,1.2,0.1,0.1,0.1
42.1,1.4,22.5,0.2,0.2
43.5,1.1,0.1,0.2,0.1
42.6,1.2,0.2,0.2,0.1
41.3,1.1,0.1,0.1,0.1
51.5,1.2,0.2,0.2,0.1
44.9,1.2,0.2,0.2,0.1
43.1,1.3,0.2,0.2,0.2
48.9,1.2,0.1,0.1,0.1
42.9,1.2,0.1,0.1,0.1
49.5,1.2,0.1,0.1,0.2
43.3,1.2,0.2,0.2,0.1
44,1.2,0.1,0.1,0.2
50.5,1.1,0.2,0.2,0.2
52.8,1.1,0.1,0.1,0.1
49.8,1.3,0.2,0.2,0.1
66.1,1.2,0.2,0.1,0.2
43.8,1.2,0.1,0.1,0.1
49.7,1.3,0.1,0.1,0.1
61.1,1.1,0.1,0.2,0.1
50.6,1.4,0.1,0.1,0.1
46.9,1.6,0.1,0.2,0.1
45.9,1.3,0.1,0.1,0.2
49.1,1.6,0.2,0.1,0.2
46.3,1.2,0.1,0.1,0.1
48.4,1.4,0.1,0.1,0.1
78.8,1.2,0.1,0.1,0.2
45.6,1.2,0.1,0.1,0.1
48,1.5,0.1,0.1,0.1
43.7,1.2,0.2,0.1,0.2
48,1.5,0.2,0.1,0.1
44.7,1.2,0.1,0.2,0.1
48.8,1.5,0.2,0.1,0.2
45.4,1.2,0.2,0.1,0.1
65.7,1.2,0.1,0.2,0.1
