ra,dec,st_dist
35.561016,47.880028,11.94
351.770142,-1.286273,29.69
351.770142,-1.286273,29.69
351.770142,-1.286273,29.69
237.300427,-35.651421,151.82
245.47778,-20.719202,145
18.146006,17.065475,48
150.590622,48.088806,14.96
15.661943,62.345043,9.86
264.47229,18.591709,8.16
344.445104,38.674953,159.71
297.709351,48.080856,37.81
297.709351,48.080856,37.81
209.389489,43.493534,142.5
129.882536,47.352051,214
129.882536,47.352051,214
260.116169,38.242165,224.1
66.248026,39.460636,193.56
9.573181,42.463078,235
324.536396,30.488716,92.63
324.536396,30.488716,92.63
256.346473,33.012512,166
9.516742,34.711575,215
245.151489,41.048084,128.25
111.916469,24.33663,70
171.274955,41.027954,279.48
155.681719,50.128345,81.96
306.123854,16.762152,368.61
108.825058,14.262599,420.26
48.435419,25.197405,302.95
213.156383,4.059997,142.41
222.767436,5.947368,204
13.000766,34.728413,395
33.131142,51.778759,316.36
206.094121,48.028667,135.08
123.949894,5.836719,215.29
271.537705,26.426662,347.48
31.042848,46.687836,291.51
113.184212,33.835052,400.55
303.195342,18.104868,251.08
123.250764,4.787023,514.2
188.266255,44.915352,296.93
284.296064,51.269138,411
35.383234,32.246151,249
113.758247,17.830082,642
229.991354,36.229664,314
335.512861,45.457378,470.68
297.322651,4.672421,351.63
135.344391,6.09723,447
128.925737,10.206653,542
213.144074,47.014687,363
213.144074,47.014687,363
274.373238,-3.381036,305
270.444201,-2.970947,296
305.441397,26.692652,353.89
274.405476,36.62141,306.01
118.063411,12.13941,497
21.06519,32.810764,470
42.721679,29.022396,385
21.871105,38.968147,719
99.898003,25.48254,144.25
264.273447,25.731186,480
100.848038,27.252293,323.5
274.743421,10.597294,282.08
354.774222,42.465973,277.5
315.905487,11.989404,841
150.572632,53.950863,927
256.610687,44.776981,320
130.505638,3.710566,343.9
292.24731,47.969513,344.46
74.552333,9.997979,329
343.041067,35.447109,212.84
110.168529,37.140652,480
175.525336,-23.354836,303
294.306813,-22.204477,496
289.400757,-22.389927,967.34
289.202393,-19.355907,512.41
316.961465,-26.096655,476
313.215479,-25.687334,513
311.091961,-19.43751,689
358.55871,-30.012999,774
192.189799,-47.613693,339
173.957397,-29.156012,645
176.739094,-22.562992,360
174.00972,-29.543312,207.9
286.366699,-50.067352,747
268.890686,-61.747311,510
207.907777,-23.781174,466
144.926863,-28.58559,907
193.55256,-46.587715,840
284.399685,-49.13847,521
285.096424,-54.893192,351
312.45744,-24.428793,453
5.618693,-59.942551,339
191.702789,-24.427364,872
346.075073,-21.271938,839
294.633636,-55.330105,255
0.774485,-62.469341,532
296.688263,-63.565609,557
291.478699,-23.202793,878.65
112.419289,-29.937889,773
94.112075,-22.546885,420
100.571251,-29.776806,1431
103.517418,-27.050388,800
108.452415,-33.437332,942
80.53817,-30.970833,341
84.326706,-27.97261,463
101.994293,-21.910694,818
6.702417,-56.316113,448
67.222871,-21.481916,257
300.42749,-26.077583,717
102.847504,-29.058611,478
140.087708,-31.269333,631
176.628006,-33.860054,613
200.634885,-44.688805,769
114.283414,-32.755421,623.6
180.165125,-45.799443,577.1
60.948335,-19.056757,280
186.787387,-48.978397,492
170.325,-22.388167,654.88
170.325,-22.388167,654.88
88.146797,-19.031656,148.4
341.364018,-14.991763,494.3
